funded_amnt,TermInMonths,int_rate,installment,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,open_acc,total_acc
0.061088931,36,0.856318093,0.31440479,2,0,1.309889299,2,2,-0.026324327,1.294313695,1.395107128
-0.965594124,36,-0.278951546,-0.93958064,3,0,-0.196130746,3,2,0.444630915,1.521630916,0.324341193
-0.845592208,36,0.222734,-0.78023041,2,0,-0.771156582,2,2,1.936627331,-0.978858509,-0.649082384
-0.258916177,36,-0.87485034,-0.22489828,5,0,-0.141366381,2,2,0.139594864,-0.296906848,-0.357055311
-0.725590293,36,-0.321347507,-0.680551028,3,0,-0.333041659,2,10,0.234041173,-0.524224068,-0.8437671
-0.662255948,60,0.097901446,-0.943940544,7,0,-0.333041659,2,1,-1.496623617,0.612362034,0.324341193
-0.205581992,36,-0.740596461,-0.155823717,4,0,0.543188185,2,1,0.236593776,-0.296906848,1.29776477
1.501111917,36,-1.402444529,1.518123087,7,0,0.214601993,2,2,-0.938879876,0.157727593,0.421683551
-0.738923839,36,0.338145229,-0.652895557,2,0,0.729387027,2,2,0.116621438,-0.524224068,-0.551740026
-0.312250361,36,-0.321347507,-0.230967951,1,0,-0.333041659,2,1,-0.351781201,0.157727593,-0.8437671
1.101105532,60,1.190775124,0.634387574,6,0,-0.552099121,2,2,-0.287966127,-1.20617573,-0.941109457
-1.165597316,36,-0.137631674,-1.152703023,4,0,-1.140816048,2,2,0.259567202,-0.978858509,-0.551740026
0.301092762,36,-0.137631674,0.460461586,10,0,0.351512907,2,2,-1.365164566,-0.978858509,-1.23313653
1.634447379,36,-0.740596461,1.795190734,2,0,1.583711126,2,10,-0.531739708,-0.524224068,0.324341193
-0.418918731,36,-0.048129088,-0.323851011,4,0,-0.278277294,3,8,0.925796568,1.976265357,2.076503632
-0.765590931,36,0.338145229,-0.683072934,10,0,-0.333041659,2,12,-0.721908626,-0.524224068,-1.23313653
-1.038928627,36,-0.740596461,-1.039473742,3,0,-0.913543932,3,2,-0.129704745,-0.296906848,-1.135794173
-1.485602424,36,0.260419299,-1.499016209,5,0,0.269366359,2,2,-1.413664022,-0.751541289,0.713710624
-0.365584546,36,-2.078424583,-0.438362616,4,0,0.214601993,2,1,-1.797830764,-1.20617573,-1.23313653
0.967770071,60,1.075363895,0.498119191,3,0,1.309889299,2,2,-0.75126356,1.521630916,0.616368266
-0.098913623,36,-0.990261568,-0.068540142,7,0,-0.689502913,2,2,0.182989114,-0.524224068,-0.8437671
1.101105532,60,0.799790144,0.552318786,4,0,-0.294706604,2,2,-0.148849267,-0.524224068,0.811052982
0.434428224,36,-2.078424583,0.342188494,8,0,0.734863464,2,2,0.038767048,-0.069589628,1.103080055
-1.432268239,36,-0.990261568,-1.460845674,2,0,-0.387806025,3,2,0.008135813,-0.296906848,-0.357055311
-0.738923839,36,-0.740596461,-0.721371702,1,0,-0.689010034,2,2,-0.562370943,-0.524224068,1.005737697
-0.165581354,36,-1.939460042,-0.230027579,3,0,-0.045528742,2,2,-0.044192547,0.157727593,1.687134201
-0.138914261,36,-1.729835565,-0.183436445,2,0,-0.469952573,2,2,-2.198589425,-0.751541289,-1.23313653
-0.965594124,36,-1.729835565,-1.007928552,2,0,-0.634245669,2,2,-1.915250499,-1.43349295,0.129656478
-0.418918731,36,-0.048129088,-0.323851011,7,0,0.214601993,3,1,-1.9165268,-0.751541289,-1.330478888
-0.498920008,36,-2.078424583,-0.56847584,6,0,-0.685587261,2,1,-0.167993789,-0.069589628,0.421683551
-1.098929585,36,0.338145229,-1.060290148,6,0,-0.196130746,1,2,-0.259887495,-1.43349295,0.324341193
-0.922260099,36,-1.729835565,-0.964671462,8,0,0.515806003,3,2,1.569052508,1.066996475,0.908395339
-1.565603701,36,-0.573367946,-1.596472895,4,0,-0.333041659,2,2,-0.56875245,1.521630916,0.713710624
-0.098913623,36,-2.078424583,-0.178178913,6,0,0.625334733,3,1,-1.383032787,-0.524224068,-0.065028238
0.434428224,36,-2.078424583,0.342188494,10,0,2.542087519,2,1,-1.423874434,-0.524224068,0.519025909
-0.392251638,36,-0.137631674,-0.302136978,10,0,0.351512907,3,2,-1.467268684,-1.43349295,-0.8437671
-0.098913623,36,-0.048129088,0.030027892,1,0,-0.789666937,2,2,-0.293071333,-0.978858509,-1.23313653
-0.365584546,36,-0.137631674,-0.272814484,5,0,0.762245646,2,1,0.833902863,1.748948136,1.784476559
-1.485602424,36,-1.637977649,-1.525303868,4,0,-1.131725163,3,2,0.757324775,-1.660810171,-1.622505961
0.834434609,36,-0.137631674,1.047039697,10,0,0.214601993,3,2,-0.088863098,-0.751541289,1.005737697
-1.32559987,36,-1.637977649,-1.364799546,10,0,-0.223512929,3,2,-0.462819428,-1.43349295,-1.038451815
0.701099147,60,0.891648061,0.24135502,2,0,0.214601993,3,2,-1.616595955,0.157727593,0.03231412
-0.815591729,36,-0.740596461,-0.802671094,1,0,-1.017596226,1,2,0.576089966,-0.296906848,0.03231412
-0.588921444,36,-0.048129088,-0.511839828,5,0,-1.154507139,1,1,-0.291795032,-1.43349295,-1.330478888
0.434428224,60,-0.203580947,-0.148343489,5,0,1.309889299,3,5,-0.684895884,0.839679254,0.713710624
-0.765590931,36,-0.740596461,-0.749625591,10,0,1.309889299,2,1,-0.34284709,-0.524224068,0.03231412
-1.365600509,60,-0.137631674,-1.489142308,1,0,-0.762394283,3,2,-0.069718576,-0.524224068,-0.259712953
0.967770071,36,-0.137631674,1.193694911,5,0,0.07769108,3,4,-0.641501634,-0.069589628,-0.357055311
1.634447379,36,-0.321347507,1.886535005,10,0,0.499294546,3,2,-0.136086253,-0.751541289,0.129656478
-0.098913623,36,-0.740596461,-0.042722669,5,0,-0.743774399,2,2,-0.054402959,-1.20617573,-0.941109457
-1.032261854,36,-0.048129088,-1.002072602,1,0,2.405176605,1,2,-1.990552285,-0.296906848,-0.357055311
-0.365584546,60,-0.573367946,-0.779375527,4,0,-0.223512929,3,5,0.757324775,-1.20617573,-1.330478888
-0.098913623,36,-0.321347507,0.001090095,2,0,0.543188185,3,2,0.295303643,1.294313695,1.103080055
2.301124687,60,1.421597581,1.721884499,2,0,0.132345917,2,2,0.121726644,-0.296906848,1.005737697
-1.032261854,36,0.451201127,-0.97976015,1,0,-1.094266337,2,1,-1.301349493,-1.660810171,-1.330478888
-0.765590931,36,-1.637977649,-0.803055792,10,0,0.625334733,3,2,0.938559583,-0.751541289,-0.357055311
-0.365584546,36,-1.637977649,-0.401816359,4,0,-0.606863486,2,2,0.255738298,1.521630916,0.421683551
0.967770071,36,-0.740596461,1.088287812,2,0,-0.469952573,4,2,-0.166717488,-0.296906848,-0.941109457
2.034453764,60,-0.048129088,1.086022371,9,0,0.378895089,2,10,0.42293379,0.157727593,-0.259712953
-1.298932778,36,-1.637977649,-1.338041702,6,0,-1.044978408,3,2,1.298476597,-0.296906848,-0.551740026
0.141090208,60,0.451201127,-0.280593921,10,0,-0.552099121,6,1,0.41399968,-0.978858509,-1.135794173
0.167757301,36,-1.164556077,0.189078912,7,0,2.76114498,2,1,-1.245192228,-0.751541289,1.395107128
-0.232249084,36,-1.164556077,-0.224128885,3,0,-0.606863486,3,1,-0.466648333,1.294313695,0.324341193
0.061088931,36,-1.402444529,0.052297599,9,0,-0.333041659,2,2,0.212344048,-0.524224068,-0.8437671
0.701099147,60,0.641982954,0.196901093,5,0,0.269366359,6,2,0.063016776,0.385044813,1.589791843
-0.365584546,36,-1.729835565,-0.409510308,10,0,-0.196130746,3,2,1.098097267,-0.296906848,-0.065028238
-0.845592208,36,-1.729835565,-0.888244903,4,0,-0.223512929,1,2,-0.993760839,-0.978858509,-0.357055311
0.434428224,36,-0.048129088,0.619769071,4,0,0.07769108,2,1,0.512274893,1.521630916,2.076503632
0.434428224,60,-0.740596461,-0.22797586,9,0,-0.634656401,2,1,0.932178076,0.839679254,0.226998835
0.184424233,36,-0.321347507,0.309275491,10,0,-0.524716938,2,2,0.916862458,1.748948136,0.421683551
0.701099147,36,-0.137631674,0.900427227,10,0,0.042094243,3,2,-0.000798297,-0.524224068,-1.038451815
-0.062246371,36,-0.990261568,-0.030241374,3,0,-0.606863486,2,2,0.642457643,-0.751541289,-0.162370596
2.967801996,36,-0.509774003,3.279139746,3,0,3.500463911,3,2,-2.181997505,-1.660810171,-0.941109457
-0.365584546,36,-1.637977649,-0.401816359,9,0,-0.606863486,2,1,0.428038996,-1.43349295,-0.649082384
-1.165597316,36,-0.410850093,-1.162320459,10,0,-0.360423842,2,4,-1.070338927,-0.751541289,-1.038451815
-0.632255469,36,-0.740596461,-0.608270653,8,0,-0.196130746,3,1,0.438249408,0.612362034,2.076503632
-1.032261854,36,-1.703926922,-1.073327117,3,0,0.707481281,2,2,0.362947621,-0.296906848,-0.259712953
1.501111917,60,0.983505978,0.923509074,10,0,0.762245646,2,2,-1.735291992,-0.978858509,-0.649082384
0.034421839,36,-0.137631674,0.167151158,4,0,0.296748541,2,2,-1.143088111,0.612362034,0.03231412
-0.758924158,36,-1.402444529,-0.782410362,1,0,-1.154507139,2,1,-0.460266826,-1.43349295,-1.135794173
-0.365584546,36,-1.729835565,-0.409510308,1,0,-0.743774399,2,1,-1.160956331,-0.751541289,-0.746424742
2.967801996,36,0.641982954,3.637805995,10,0,9.716219373,3,10,-2.106695719,0.157727593,-0.941109457
0.301092762,36,-1.637977649,0.266916028,1,0,0.860821504,2,12,-1.579583213,-0.978858509,-1.427821246
-0.898926393,36,0.260419299,-0.838148747,9,0,2.405176605,2,5,-0.056955562,1.748948136,0.616368266
-0.632255469,60,-0.321347507,-0.952660353,2,0,0.214601993,3,10,-0.584068068,-0.978858509,0.03231412
2.301124687,36,0.338145229,2.787368182,10,0,1.172978386,2,2,-0.226703657,-0.524224068,-1.038451815
-1.165597316,36,0.451201127,-1.131672896,5,0,-0.771156582,2,2,0.157463085,-0.978858509,-0.649082384
-0.312250361,36,-0.509774003,-0.248108359,2,0,0.241984176,2,1,-0.906972339,-0.524224068,-0.8437671
-0.365584546,36,-0.990261568,-0.346975602,5,0,-0.771156582,2,2,-0.595554781,-1.20617573,-1.23313653
0.167757301,36,-1.164556077,0.189078912,2,0,-1.007848169,1,10,-0.085034194,-1.43349295,-1.719848319
-0.498920008,60,-0.740596461,-0.889185275,6,0,0.214601993,2,5,-0.972063714,-1.20617573,-0.649082384
-0.898926393,36,-1.402444529,-0.924962137,3,0,-0.867021603,2,1,0.211067746,-0.296906848,-1.135794173
-1.032261854,36,-0.321347507,-1.014126455,1,0,0.48842382,1,2,-0.965682207,-1.43349295,-0.746424742
-0.672256108,36,0.641982954,-0.556336499,2,0,-0.497334755,2,10,0.23148857,-0.978858509,-1.427821246
-1.032261854,36,-1.402444529,-1.060674846,3,0,-0.196130746,2,11,-0.882722611,-1.43349295,-0.649082384
